"Buchholz's OCF","Madore's OCF"
"\psi(\Omega^{\Omega+2} \cdot \psi(\Omega^{\Omega+2}))","\psi(\Omega^{\Omega+2} \cdot \psi(\Omega^{\Omega+2}))"
"\psi(\Omega^{\Omega+3})","\psi(\Omega^{\Omega+3})"
"\psi(\Omega^{\Omega+3} \cdot 2)","\psi(\Omega^{\Omega+3} \cdot 2)"
"\psi(\Omega^{\Omega+4})","\psi(\Omega^{\Omega+4})"
"\psi(\Omega^{\Omega+\omega})","\psi(\Omega^{\Omega+\omega})"
"\psi(\Omega^{\Omega+\psi(\Omega^{\Omega})})","\psi(\Omega^{\Omega+\psi(\Omega^{\Omega})})"
"\psi(\Omega^{\Omega+\psi(\Omega^{\Omega+\psi(\Omega^{\Omega})})})","\psi(\Omega^{\Omega+\psi(\Omega^{\Omega+\psi(\Omega^{\Omega})})})"
"\psi(\Omega^{\Omega \cdot 2})","\psi(\Omega^{\Omega \cdot 2})"
"\psi(\Omega^{\Omega \cdot 2 + \psi(\Omega^{\Omega \cdot 2})+1})","\psi(\Omega^{\Omega \cdot 2 + \psi(\Omega^{\Omega \cdot 2})+1})"
"\psi(\Omega^{\Omega \cdot 2} \cdot 2)","\psi(\Omega^{\Omega \cdot 2} \cdot 2)"
"\psi(\Omega^{\Omega \cdot 2} \cdot \psi(\Omega^{\Omega \cdot 2}))","\psi(\Omega^{\Omega \cdot 2} \cdot \psi(\Omega^{\Omega \cdot 2}))"
"\psi(\Omega^{\Omega \cdot 2+1})","\psi(\Omega^{\Omega \cdot 2+1})"
"\psi(\Omega^{\Omega \cdot 2+1} \cdot 2)","\psi(\Omega^{\Omega \cdot 2+1} \cdot 2)"
"\psi(\Omega^{\Omega \cdot 2+\psi(\Omega^{\Omega \cdot 2})})","\psi(\Omega^{\Omega \cdot 2+\psi(\Omega^{\Omega \cdot 2})})"
"\psi(\Omega^{\Omega \cdot 3})","\psi(\Omega^{\Omega \cdot 3})"
